    A       	B
    0.7188   -0.8023
    0.7289   -0.7963
    0.7390   -0.7911
    0.7491   -0.7872
    0.7592   -0.7849
    0.7693   -0.7846
    0.7794   -0.7866
    0.7895   -0.7915
    0.7996   -0.7996
    0.8097   -0.8115
    0.8198   -0.8277
    0.8299   -0.8484
    0.8400   -0.8742
    0.8501   -0.9054
    0.8602   -0.9420
    0.8703   -0.9840
    0.8804   -1.0227
    0.8905   -1.0385
    0.9006   -1.0605
    0.9107   -1.0886
    0.9209   -1.0886
    0.9311   -1.0887
    0.9412   -1.0887
    0.9514   -1.0888
    0.9616   -1.0889
    0.9718   -1.0891
    0.9820   -1.0892
    0.9922   -1.0892
    1.0024   -1.0893
    1.0126   -1.0893
    1.0227   -1.0819
    1.0328   -1.0557
    1.0429   -1.0212
    1.0530   -0.9878
    1.0631   -0.9585
    1.0732   -0.9342
    1.0833   -0.9151
    1.0934   -0.9008
    1.1035   -0.8910
    1.1136   -0.8854
    1.1237   -0.8833
    1.1338   -0.8844
    1.1439   -0.8881
    1.1540   -0.8940
    1.1641   -0.9016
    1.1742   -0.9107
    1.1843   -0.9207
    1.1944   -0.9315
    1.2045   -0.9426
    1.2146   -0.9539
    1.2247   -0.9651
    1.2348   -0.9761
    1.2449   -0.9866
    1.2550   -0.9965
    1.2651   -1.0057
    1.2752   -1.0141
    1.2853   -1.0215
    1.2954   -1.0279
    1.3055   -1.0333
    1.3156   -1.0375
    1.3257   -1.0405
    1.3358   -1.0423
    1.3459   -1.0430
    1.3560   -1.0409
    1.3662   -1.0348
    1.3763   -1.0246
    1.3864   -1.0108
    1.3965   -0.9949
    1.4067   -0.9791
    1.4168   -0.9657
    1.4269   -0.9573
    1.4371   -0.9555
    1.4472   -0.9617
    1.4573   -0.9762
    1.4674   -0.9992
    1.4776   -1.0301
    1.4877   -1.0680
    1.4978   -1.1122
    1.5080   -1.1617
    1.5181   -1.2155
    1.5282   -1.2727
    1.5384   -1.3325
    1.5485   -1.3944
    1.5586   -1.4576
    1.5687   -1.5217
    1.5789   -1.5862
    1.5890   -1.6508
